Distributor_Date,Distributor,TBL_IB_Serial_or_Order,Family,Model,Cylinders,Lean_or_Rich_Burn,Power_BHP,Branch,Branch_Address,Branch_City,Branch_State,Branch_Country,Owner,Owner_Address,Owner_City,Owner_State,Owner_Country,Owner_Post_Code,Site_Name,Site_Address,Site_City,Site_State,Site_Country,Site_Post_Code,Site_Longitude,Site_Latitude,Region,Engine_Market,Driven_Equipment,Driven_Equipment_Model,Engine_Application,Fuel_Type,LC_Model,Notes,Customer_Tag,Status,Duty,EQUIPMENT_STATUS,RPM,LOAD,Hours_per_Year,Engine_Location_Area,Contact_name,Contact_Email,Phone_Number,Distributor_Maintenance_Agreement?  Yes/No,Engine_Hrs_of_Last_Top_Overhaul,Date_Performed,Engine_Hrs_of_Last_Bottom_Overhaul,Date_Performed_Last,Current_Engine_Hours,Date_Verified,Engine_Modified_Yes_No,If_Yes_please_explain_modification,Other_Distributor_Info,Startup_Year,Special_Notes,INSTALLED_AT,MACHINE_DESCRIPTION,MANUFACTURER,OPERATING_PERCENTAJE,COMMENTS_if_any_OWNER,SpecNo,Service_File _No,CP,Cool_Sys,Date_of_Op_Hrs,Engine_Quantity,Sector,Air_Fuel_Ratio,Catalyst,Compressor,Engine_Facility_Name,Generator_Set,HP,Ignition_Type,Last_Maintenance_Date,Overhaul_Date,Packager,Permit_Number,Permit_Year,Turbocharger_Model,Driven_Equipment1,Fuel_Type1,Line ,JFE_Site_No,Area,TBL_IB_Region1,Startup,Ship_Date,Year,GGO_Region,OraclePartyNumber,Field0,Expr1,Expr2,Expr3,Expr4,Field1
,Gas Drive,C-16741/1,VHP,P9390GSI,,,1980,,,,,,Enerflex C & P (US Dollars),,,,,,,10121 Barlow Trail NE,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VHPP9390GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,6/29/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,P9390GSI,C-16741/1
,Gas Drive,C-16746/1,VHP,L7042GL,,,1480,,,,,,EOG Resources Canada Incorporated,,,,,,,04-18-32-22-W4M,Bonnyville,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,6/9/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-16746/1
,Gas Drive,C-16748/1,VGF,H24GLHCR,,,585,,,,,,EnCana Corporation,,,,,,,05-18-25-21-W4M,Grande Prairie,AB,Canada,,,,North America,,,,,Diesel  ,VGFH24GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,2009,,,Canada,Canada,Gas Drive,VGF,H24GLHCR,C-16748/1
,Gas Drive,C-16749/1,VGF,H24GLHCR,,,585,,,,,,EnCana Corporation,,,,,,,13-13-24-27-W4M,Grande Prairie,AB,Canada,,,,North America,,,,,Diesel  ,VGFH24GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,4/12/2009 0:00,2009,,,Canada,Canada,Gas Drive,VGF,H24GLHCR,C-16749/1
,Gas Drive,C-16750/1,VGF,H24GLHCR,,,585,,,,,,EnCana Corporation,,,,,,,PO Box 2850,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VGFH24GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,4/20/2009 0:00,2009,,,Canada,Canada,Gas Drive,VGF,H24GLHCR,C-16750/1
,Gas Drive,C-16751/1,VGF,H24GLHCR,,,585,,,,,,EnCana Corporation,,,,,,,PO Box 2850,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VGFH24GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,4/27/2009 0:00,2009,,,Canada,Canada,Gas Drive,VGF,H24GLHCR,C-16751/1
,Gas Drive,C-16752/1,VGF,H24GLHCR,,,585,,,,,,Enerflex C & P (US Dollars),,,,,,,10121 Barlow Trail NE,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VGFH24GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,4/27/2009 0:00,2009,,,Canada,Canada,Gas Drive,VGF,H24GLHCR,C-16752/1
,Gas Drive,C-16754/1,VGF,L36GL,,,880,,,,,,STX Energy Canada Incorporated,,,,,,,A-60-I/94-O-11,Drayton Valley,AB,Canada,,,,North America,,,,,Diesel  ,VGFL36GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,3/22/2009 0:00,2009,,,Canada,Canada,Gas Drive,VGF,L36GL,C-16754/1
,Gas Drive,C-16754/2,VGF,L36GL,,,880,,,,,,STX Energy Canada Incorporated,,,,,,,A-60-I/94-O-11,Red Deer,AB,Canada,,,,North America,,,,,Diesel  ,VGFL36GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,4/20/2009 0:00,2009,,,Canada,Canada,Gas Drive,VGF,L36GL,C-16754/2
,Gas Drive,C-16785/1,VGF,H24GLHCR,,,585,,,,,,Shell Canada Energy,,,,,,,09-29-65-13-W6M,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VGFH24GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,2009,,,Canada,Canada,Gas Drive,VGF,H24GLHCR,C-16785/1
,Gas Drive,C-16790/1,VHP,L7042GL,,,1480,,,,,,Compton Petroleum Corporation,,,,,,,02-04-17-29-W4M,Edson,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,6/20/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-16790/1
,Gas Drive,C-16822/1,VGF,F18GLHCR,,,440,,,,,,Penn West Petroleum,,,,,,,02-24-50-12-W5M,Red Deer,AB,Canada,,,,North America,,,,,Diesel  ,VGFF18GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,2009,,,Canada,Canada,Gas Drive,VGF,F18GLHCR,C-16822/1
,Gas Drive,C-16823/1,VGF,F18GLHCR,,,440,,,,,,Nuvista Energy Limited,,,,,,,08-28-59-20-W5M,Medicine Hat,AB,Canada,,,,North America,,,,,Diesel  ,VGFF18GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,6/15/2009 0:00,2009,,,Canada,Canada,Gas Drive,VGF,F18GLHCR,C-16823/1
,Gas Drive,C-16824/1,VGF,F18GLHCR,,,440,,,,,,Penn West Petroleum,,,,,,,B-65-H/94-J-10,Edson,AB,Canada,,,,North America,,,,,Diesel  ,VGFF18GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,6/15/2009 0:00,2009,,,Canada,Canada,Gas Drive,VGF,F18GLHCR,C-16824/1
,Gas Drive,C-16830/1,VHP,L7042GSI,,,1480,,,,,,Shell Canada Energy,,,,,,,15-07-54-21-W5M,Red Deer,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,3/18/2010 0:00,2010,,,Canada,Canada,Gas Drive,VHP,L7042GSI,C-16830/1
,Gas Drive,C-16832/1,VHP,L7042GSI,,,1480,,,,,,Shell Canada Energy,,,,,,,14-03-52-23-W5M,Edmonton,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,5/30/2010 0:00,2010,,,Canada,Canada,Gas Drive,VHP,L7042GSI,C-16832/1
,Gas Drive,C-16847/1,VHP,L7042GSI,,,1480,,,,,,Talisman Energy Canada,,,,,,,04-03-60-22-W5M,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,10/26/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,L7042GSI,C-16847/1
,Gas Drive,C-16854/1,VHP,L7042GL,,,1480,,,,,,Compton Petroleum Corporation,,,,,,,15-11-30-23-W4M,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,7/21/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-16854/1
,Gas Drive,C-16911/1,VHP,L7042GL,,,1480,,,,,,Peyto Exploration & Development,,,,,,,09-34-53-20-W5M,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,12/20/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-16911/1
,Gas Drive,C-16921/1,VHP,L7042GL,,,1480,,,,,,Pembina Pipeline Corporation,,,,,,,04-25-62-06-W6M,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,2011,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-16921/1
,Gas Drive,C-16922/1,VHP,L7042GL,,,1480,,,,,,Pembina Pipeline Corporation,,,,,,,04-25-62-06-W6M,Red Deer,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,3/6/2011 0:00,2011,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-16922/1
,Gas Drive,C-16923/1,VHP,L7042GL,,,1480,,,,,,EnCana Corporation,,,,,,,14-34-58-26-W5M,Vernal ,UT,USA,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern US,,3/8/2011 0:00,2011,,,Northern US,Northern US,Gas Drive,VHP,L7042GL,C-16923/1
,Gas Drive,C-16924/1,VHP,L7042GL,,,1480,,,,,,EnCana Corporation,,,,,,,09-15-77-15-W6M,Bonnyville,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,2010,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-16924/1
,Gas Drive,C-16925/1,VHP,L7042GL,,,1480,,,,,,EnCana Corporation,,,,,,,A-05-G/93-P-09,Grande Prairie,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,1/25/2010 0:00,2010,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-16925/1
,Gas Drive,C-16926/1,VHP,L7042GL,,,1480,,,,,,EnCana Corporation,,,,,,,A-05-G/93-P-09,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,1/25/2010 0:00,2010,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-16926/1
,Gas Drive,C-16927/1,VHP,L7042GL,,,1480,,,,,,EnCana Corporation,,,,,,,A-05-G/93-P-09,Grande Prairie,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,1/29/2010 0:00,2010,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-16927/1
,Gas Drive,C-16928/1,VHP,L7042GL,,,1480,,,,,,EnCana Corporation,,,,,,,D-33-I/93-P-08,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,1/31/2010 0:00,2010,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-16928/1
,Gas Drive,C-16933/1,VHP,L7042GL,,,1480,,,,,,EnCana Corporation,,,,,,,11-18-74-12-W6M,Grande Prairie,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,2010,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-16933/1
,Gas Drive,C-16934/1,VHP,L7042GL,,,1480,,,,,,Veresen Energy Infrastructure Inc,,,,,,,11-18-74-12-W6M,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,12/29/2010 0:00,2010,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-16934/1
,Gas Drive,C-16935/1,VHP,L7042GL,,,1480,,,,,,Enerflex C & P Domestic (90),,,,,,,10121 Barlow Trail NE,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,3/7/2010 0:00,2010,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-16935/1
,Gas Drive,C-16945,VHP,L7042GL,,,1480,,,,,,EnCana Corporation,,,,,,,4700 - 47th Street SE,Drayton Valley,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-16945
,Gas Drive,C-16952/1,VHP,L7044GSI,,,1680,,,,,,Enerflex C & P (US Dollars),,,,,,,10121 Barlow Trail NE,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7044GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,2/26/2010 0:00,2010,,,Canada,Canada,Gas Drive,VHP,L7044GSI,C-16952/1
,Gas Drive,C-16953/1,VHP,L7044GSI,,,1680,,,,,,Enerflex C & P (US Dollars),,,,,,,10121 Barlow Trail NE,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7044GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,2010,,,Canada,Canada,Gas Drive,VHP,L7044GSI,C-16953/1
,Gas Drive,C-16956/1,VHP,L7044GSI,,,1680,,,,,,Blaze Energy Limited,,,,,,,14-34-48-11-W5M,Drayton Valley,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7044GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,6/21/2010 0:00,2010,,,Canada,Canada,Gas Drive,VHP,L7044GSI,C-16956/1
,Gas Drive,C-16957/1,VHP,L5774LT,,,1280,,,,,,Enerflex C & P (US Dollars),,,,,,,10121 Barlow Trail NE,Grande Prairie,AB,Canada,,,,North America,,,,,Diesel  ,VHPL5774LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,2010,,,Canada,Canada,Gas Drive,VHP,L5774LT,C-16957/1
,Gas Drive,C-16958/1,VHP,L5774LT,,,1450,,,,,,Pengrowth Energy Corporation,,,,,,,A-16-A/94-A-13,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VHPL5774LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,12/29/2010 0:00,2010,,,Canada,Canada,Gas Drive,VHP,L5774LT,C-16958/1
,Gas Drive,C-16960/1,VHP,L5774LT,,,1280,,,,,,Peyto Exploration & Development,,,,,,,04-21-55-23-W5M,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VHPL5774LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,6/14/2010 0:00,2010,,,Canada,Canada,Gas Drive,VHP,L5774LT,C-16960/1
,Gas Drive,C-17026/1,VGF,F18GLHCR,,,440,,,,,,ConocoPhillips Canada Limited,,,,,,,12-01-46-09-W4M,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VGFF18GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,8/17/2009 0:00,2009,,,Canada,Canada,Gas Drive,VGF,F18GLHCR,C-17026/1
,Gas Drive,C-17028/1,VGF,F18GLHCR,,,440,,,,,,Compton Petroleum Corporation,,,,,,,11-29-53-14-W5M,Red Deer,AB,Canada,,,,North America,,,,,Diesel  ,VGFF18GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,8/17/2009 0:00,2009,,,Canada,Canada,Gas Drive,VGF,F18GLHCR,C-17028/1
,Gas Drive,C-17031/1,VGF,F18GLHCR,,,440,,,,,,EOG Resources Canada Incorporated,,,,,,,03-12-02-29-W3M,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VGFF18GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,8/22/2009 0:00,2009,,,Canada,Canada,Gas Drive,VGF,F18GLHCR,C-17031/1
,Gas Drive,C-17032/1,VGF,F18GLHCR,,,440,,,,,,Enerplus Corporation,,,,,,,02-23-19-14-W4M,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VGFF18GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,8/22/2009 0:00,2009,,,Canada,Canada,Gas Drive,VGF,F18GLHCR,C-17032/1
,Gas Drive,C-17036/1,VGF,H24GLHCR,,,585,,,,,,Apache Canada Limited,,,,,,,D-84-J/93-P-07,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VGFH24GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,8/9/2009 0:00,2009,,,Canada,Canada,Gas Drive,VGF,H24GLHCR,C-17036/1
,Gas Drive,C-17039/1,VGF,H24GLHCR,,,585,,,,,,ARC Resources Limited,,,,,,,10-07-67-24-W5M,PM dummy service office,,Canada,,,,North America,,,,,Diesel  ,VGFH24GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,8/22/2009 0:00,2009,,,Canada,Canada,Gas Drive,VGF,H24GLHCR,C-17039/1
,Gas Drive,C-17041/1,VGF,H24GLHCR,,,585,,,,,,ConocoPhillips Canada Limited,,,,,,,09-04-41-11-W5M,Red Deer,AB,Canada,,,,North America,,,,,Diesel  ,VGFH24GLHCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,8/22/2009 0:00,2009,,,Canada,Canada,Gas Drive,VGF,H24GLHCR,C-17041/1
,Gas Drive,C-17050/1,VHP,L7042GL,,,1480,,,,,,Progress Energy Limited,,,,,,,B-70-C/94-G-01,Gillette,Wyoming,USA,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern US,,12/12/2010 0:00,2010,,,Northern US,Northern US,Gas Drive,VHP,L7042GL,C-17050/1
,Gas Drive,C-17052/1,VHP,L7042GL,,,1480,,,,,,Progress Energy Limited,,,,,,,D-59-J/94-B-16,Gillette,Wyoming,USA,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern US,,10/11/2010 0:00,2010,,,Northern US,Northern US,Gas Drive,VHP,L7042GL,C-17052/1
,Gas Drive,C-17057/1,VHP,L7042GL,,,1480,,,,,,Progress Energy Limited,,,,,,,B-70-C/94-G-01,Gillette,Wyoming,USA,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern US,,9/27/2010 0:00,2010,,,Northern US,Northern US,Gas Drive,VHP,L7042GL,C-17057/1
,Gas Drive,C-17059/1,VHP,L7042GL,,,1480,,,,,,Seven Generations Energy Ltd,,,,,,,01-21-63-02-W6M,Gillette,Wyoming,USA,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern US,,10/19/2009 0:00,2009,,,Northern US,Northern US,Gas Drive,VHP,L7042GL,C-17059/1
,Gas Drive,C-17060/1,VHP,L5774LT,,,1450,,,,,,Progress Energy Limited,,,,,,,D-87-D/94-A-13,Red Deer,AB,Canada,,,,North America,,,,,Diesel  ,VHPL5774LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,10/16/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,L5774LT,C-17060/1
,Gas Drive,C-17061/1,VHP,L5774LT,,,1450,,,,,,Santonia Energy Inc,,,,,,,05-29-55-19-W5M,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VHPL5774LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,10/16/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,L5774LT,C-17061/1
,Gas Drive,C-17062/1,VHP,L5774LT,,,1450,,,,,,Peyto Exploration & Development,,,,,,,11-21-55-20-W5M,Gillette,Wyoming,USA,,,,North America,,,,,Diesel  ,VHPL5774LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern US,,10/26/2009 0:00,2009,,,Northern US,Northern US,Gas Drive,VHP,L5774LT,C-17062/1
,Gas Drive,C-17064/1,VHP,L7044GSI,,,1680,,,,,,Enerflex Energy Systems Inc (95),,,,,,,PO Box 51150,Edmonton,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7044GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,12/16/2010 0:00,2010,,,Canada,Canada,Gas Drive,VHP,L7044GSI,C-17064/1
,Gas Drive,C-17065/1,VHP,L7044GSI,,,1680,,,,,,Western Gas Partners LP,,,,,,,1400 East Lincoln Street,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VHPL7044GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,11/10/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,L7044GSI,C-17065/1
,Gas Drive,C-17066/1,VHP,L7042GL,,,1480,,,,,,Talisman Energy Incorporated,,,,,,,14-36-58-24-W5M,Edson,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,10/19/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-17066/1
,Gas Drive,C-17067/1,VHP,L7042GL,,,1480,,,,,,Progress Energy Limited,,,,,,,A-79-F/94-G-01,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,10/30/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-17067/1
,Gas Drive,C-17069/1,VHP,L5774LT,,,1450,,,,,,Santonia Energy Inc,,,,,,,05-29-55-19-W5M,,AK,USA,,,,North America,,,,,Diesel  ,VHPL5774LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern US,,1/30/2009 0:00,2009,,,Northern US,Northern US,Gas Drive,VHP,L5774LT,C-17069/1
,Gas Drive,C-17070/1,VHP,L5774LT,,,1450,,,,,,Peyto Exploration & Development,,,,,,,11-21-55-20-W5M,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VHPL5774LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,10/26/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,L5774LT,C-17070/1
,Gas Drive,C-17073/1,VHP,L7042GL,,,1480,,,,,,Terra Energy Corporation,,,,,,,09-28-81-17-W6M,Slave Lake,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,1/30/2010 0:00,2010,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-17073/1
,Gas Drive,C-17075/1,VHP,L7042GL,,,1480,,,,,,EnCana Corporation,,,,,,,15-33-36-21-W4M,Grande Prairie,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,10/30/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-17075/1
,Gas Drive,C-17076/1,VHP,L7042GL,,,1480,,,,,,Terra Energy Corporation,,,,,,,09-28-81-17-W6M,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,11/12/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-17076/1
,Gas Drive,C-17077/1,VHP,L7042GL,,,1480,,,,,,EnCana Corporation,,,,,,,04-26-61-05-W6M,Red Deer,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,11/12/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,L7042GL,C-17077/1
,Gas Drive,C-17114/1,VHP,L7042GSI,,,1480,,,,,,Devon Canada Corporation,,,,,,,PO Box 2606,Edson,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,9/21/2009 0:00,2009,,,Canada,Canada,Gas Drive,VHP,L7042GSI,C-17114/1
